Address,Hood,Town,County,Zip,Lat,Lng,Walk Score,Bike Score,Transit Score
"Dywer Ave, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2563313,-97.7679618,74,88,44
"Eason St, Austin, TX 78703, USA",Clarksville,Austin,Travis County,78703,30.2795125,-97.758974,88,94,45
"E 10th St, Austin, TX 78701, USA",UnknownHood,Austin,Travis County,78701,30.2701387,-97.7354673,91,84,64
"E 10th St, Austin, TX 78702, USA",UnknownHood,Austin,Travis County,78702,30.2673027,-97.7267326,88,85,49
"E 11th St, Austin, TX 78701, USA",UnknownHood,Austin,Travis County,78701,30.2712233,-97.7356468,83,80,65
"E 11th St, Austin, TX 78702, USA",UnknownHood,Austin,Travis County,78702,30.2684347,-97.7269315,92,88,50
"E 12th St, Austin, TX 78701, USA",UnknownHood,Austin,Travis County,78701,30.2721908,-97.7348639,83,80,65
"E 13th St, Austin, TX 78701, USA",UnknownHood,Austin,Travis County,78701,30.2729525,-97.7314888,74,86,66
"E 13th St, Austin, TX 78702, USA",UnknownHood,Austin,Travis County,78702,30.2747456,-97.7202743,87,94,52
"E 14th St, Austin, TX 78702, USA",UnknownHood,Austin,Travis County,78702,30.2755967,-97.7213334,84,92,55
"E 16th St, Austin, TX 78702, USA",UnknownHood,Austin,Travis County,78702,30.2780111,-97.7122515,76,96,52
"E 17th St, Austin, TX 78702, USA",UnknownHood,Austin,Travis County,78702,30.2783822,-97.7162815,82,89,52
"E 18th St, Austin, TX 78701, USA",UnknownHood,Austin,Travis County,78701,30.2795712,-97.7383504,90,93,74
"E 18th St, Austin, TX 78702, USA",UnknownHood,Austin,Travis County,78702,30.27899,-97.7197791,86,86,56
"E 18th St, Austin, TX 78721, USA",UnknownHood,Austin,Travis County,78721,30.2811158,-97.7030883,74,97,50
"E 20th St, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.2807875,-97.7214376,83,91,58
"E 21st St, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.2819739,-97.7204587,86,87,58
"E 22nd St, Austin, TX 78722, USA",East Austin,Austin,Travis County,78722,30.2835146,-97.7175602,85,88,56
"E 23rd St, Austin, TX 78712, USA",University of Texas at Austin,Austin,Travis County,78712,30.2853319,-97.7343037,73,89,72
"E 24th St, Austin, TX 78705, USA",University of Texas at Austin,Austin,Travis County,78705,30.2872855,-97.7363831,82,94,73
"E 24th St, Austin, TX 78712, USA",University of Texas at Austin,Austin,Travis County,78712,30.2872855,-97.7363831,82,94,73
"E 27th St, Austin, TX 78712, USA",University of Texas at Austin,Austin,Travis County,78712,30.291676,-97.7372366,82,86,73
"E 28th St, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.285375,-97.7217826,81,97,60
"E 29th St, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.2863778,-97.7220342,75,96,60
"E 2nd St, Austin, TX 78701, USA",UnknownHood,Austin,Travis County,78701,30.2619677,-97.7355568,95,92,59
"E 2nd St, Austin, TX 78702, USA",UnknownHood,Austin,Travis County,78702,30.2573305,-97.7222601,94,91,47
"E 30th St, Austin, TX 78705, USA",UnknownHood,Austin,Travis County,78705,30.2900726,-97.7289399,79,93,69
"E 30th St, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.2886332,-97.725741,78,97,64
"E 31st St, Austin, TX 78705, USA",UnknownHood,Austin,Travis County,78705,30.2910052,-97.7293443,78,91,69
"E 31st St, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.288554,-97.723355,77,96,62
"E 32nd St, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.289573,-97.7227149,78,91,59
"E 33rd St, Austin, TX 78705, USA",North University,Austin,Travis County,78705,30.2964272,-97.7337319,78,91,64
"E 34th St, Austin, TX 78705, USA",UnknownHood,Austin,Travis County,78705,30.297079,-97.7323359,72,95,63
"E 34th St, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.2899675,-97.7158596,72,82,54
"E 38th St, Austin, TX 78705, USA",UnknownHood,Austin,Travis County,78705,30.2973172,-97.7269459,72,82,56
"E 38th St, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.294305,-97.7201991,81,89,56
"E 39th St, Austin, TX 78722, USA",UnknownHood,Austin,Travis County,78722,30.2955817,-97.7194053,82,85,49
